NULL,alan.thompson@st-andrews.ac.uk,2023-01-07,54.2,-2.26,NULL,Columba,palumbus
NULL,alan.thompson@st-andrews.ac.uk,2023-01-19,54.29,-2.68,NULL,Troglodytes,troglodytes
NULL,alan.thompson@st-andrews.ac.uk,2023-01-19,54.01,-1.63,Sitting in its nest.,Vanellus,vanellus
NULL,alan.thompson@st-andrews.ac.uk,2023-01-20,54.01,-1.63,NULL,Anthus,pratensis
NULL,alan.thompson@st-andrews.ac.uk,2023-01-28,54.56,-1.56,NULL,Sterna,sandvicensis
NULL,alan.thompson@st-andrews.ac.uk,2023-02-21,54.19,-2.37,NULL,Streptopelia,decaocto
NULL,alan.thompson@st-andrews.ac.uk,2023-03-24,54.26,-1.47,NULL,Anthus,pratensis
NULL,alan.thompson@st-andrews.ac.uk,2023-03-27,54.29,-1.63,NULL,Alauda,arvensis
NULL,alan.thompson@st-andrews.ac.uk,2023-04-09,54.29,-1.62,NULL,Phylloscopus,collybita
NULL,alan.thompson@st-andrews.ac.uk,2023-04-11,54.22,-2.72,NULL,Fringilla,montifringilla
NULL,alan.thompson@st-andrews.ac.uk,2023-04-24,54.49,-2.42,NULL,Anthus,pratensis
NULL,alan.thompson@st-andrews.ac.uk,2023-05-17,54.55,-1.93,NULL,Anthus,pratensis
NULL,alan.thompson@st-andrews.ac.uk,2023-05-25,53.94,-2.09,NULL,Cyanistes,caeruleus
NULL,alan.thompson@st-andrews.ac.uk,2023-06-08,54.45,-2.39,NULL,Phasianus,colchicus
NULL,alan.thompson@st-andrews.ac.uk,2023-06-08,53.88,-2.29,NULL,Phasianus,colchicus
NULL,alan.thompson@st-andrews.ac.uk,2023-06-14,53.9,-2.61,NULL,Phasianus,colchicus
NULL,alan.thompson@st-andrews.ac.uk,2023-06-14,53.9,-2.61,NULL,Phasianus,colchicus
NULL,alan.thompson@st-andrews.ac.uk,2023-06-18,53.88,-1.69,NULL,Streptopelia,decaocto
NULL,alan.thompson@st-andrews.ac.uk,2023-07-14,54.44,-1.68,NULL,Hirundo,rustica
NULL,alan.thompson@st-andrews.ac.uk,2023-08-11,54.22,-1.82,NULL,Passer,domesticus
NULL,alan.thompson@st-andrews.ac.uk,2023-08-19,54.19,-2.68,NULL,Columba,palumbus
NULL,alan.thompson@st-andrews.ac.uk,2023-10-06,53.93,-1.67,NULL,Anthus,pratensis
NULL,alan.thompson@st-andrews.ac.uk,2023-10-15,53.93,-1.59,NULL,Periparus,ater
NULL,alan.thompson@st-andrews.ac.uk,2023-10-21,54.16,-2.15,NULL,Emberiza,schoeniclus
NULL,alan.thompson@st-andrews.ac.uk,2023-10-21,54.2,-1.86,NULL,Turdus,merula
NULL,alan.thompson@st-andrews.ac.uk,2023-12-25,54.32,-2.27,NULL,Phylloscopus,trochilus
NULL,alan.thompson@st-andrews.ac.uk,2024-01-20,54.55,-2.59,NULL,Corvus,monedula
NULL,alan.thompson@st-andrews.ac.uk,2024-02-21,54.56,-2.56,NULL,Troglodytes,troglodytes
NULL,b.davis@gmail.com,2023-01-05,56.12,-2.95,NULL,Erithacus,rubecula
NULL,b.davis@gmail.com,2023-01-17,56.21,-2.7,NULL,Turdus,merula
NULL,b.davis@gmail.com,2023-02-05,56.24,-3.03,NULL,Passer,domesticus
NULL,b.davis@gmail.com,2023-04-16,56.1,-3.22,NULL,Troglodytes,troglodytes
NULL,b.davis@gmail.com,2023-04-19,56.16,-3.24,NULL,Erithacus,rubecula
NULL,b.davis@gmail.com,2023-04-20,56.28,-3.11,NULL,Cyanistes,caeruleus
NULL,b.davis@gmail.com,2023-04-20,56.1,-2.75,NULL,Erithacus,rubecula
NULL,b.davis@gmail.com,2023-05-09,56.32,-3.18,NULL,Phylloscopus,collybita
NULL,b.davis@gmail.com,2023-05-30,56.26,-3.07,NULL,Columba,palumbus
NULL,b.davis@gmail.com,2023-06-27,56.16,-2.7,NULL,Passer,domesticus
NULL,b.davis@gmail.com,2023-07-20,56.12,-2.91,NULL,Troglodytes,troglodytes
NULL,b.davis@gmail.com,2023-07-31,56.18,-3.25,NULL,Prunella,modularis
NULL,b.davis@gmail.com,2023-08-02,56.32,-2.78,NULL,Cyanistes,caeruleus
NULL,b.davis@gmail.com,2023-08-06,56.4,-2.98,NULL,Troglodytes,troglodytes
NULL,b.davis@gmail.com,2023-10-29,56.29,-2.69,NULL,Sylvia,borin
NULL,b.davis@gmail.com,2023-11-02,56.12,-2.77,NULL,Lagopus,lagopus
NULL,b.davis@gmail.com,2024-01-07,56.16,-2.84,NULL,Cyanistes,caeruleus
NULL,b.davis@gmail.com,2024-01-17,56.37,-2.99,NULL,Phasianus,colchicus
NULL,b.davis@gmail.com,2024-01-21,56.08,-3.26,NULL,Columba,palumbus
NULL,b.davis@gmail.com,2024-02-19,56.25,-3.15,NULL,Columba,palumbus
NULL,b.davis@gmail.com,2024-02-20,56.21,-3.26,NULL,Phylloscopus,collybita
NULL,b.davis@gmail.com,2024-02-21,56.25,-2.74,NULL,Prunella,modularis
NULL,b.davis@gmail.com,2024-03-06,56.44,-2.92,NULL,Troglodytes,troglodytes
NULL,b.davis@gmail.com,2024-03-12,56.35,-3.11,NULL,Anthus,pratensis
NULL,birds4life@rspb.org.uk,2023-01-08,55.66,-5.63,NULL,Erithacus,rubecula
NULL,birds4life@rspb.org.uk,2023-01-12,55.65,-5.89,NULL,Phoenicurus,phoenicurus
NULL,birds4life@rspb.org.uk,2023-01-25,55.73,-5.59,NULL,Troglodytes,troglodytes
NULL,birds4life@rspb.org.uk,2023-01-26,55.97,-5.24,NULL,Troglodytes,troglodytes
NULL,birds4life@rspb.org.uk,2023-02-13,55.9,-4.91,NULL,Turdus,merula
